TIdx,Pop,n_fused,n_parental,n_resistant,n_yellow,n_green,n_red, fuseProb, dieProb, birthProb

TIdx,Pop,n_fused,n_parental,n_resistant,n_yellow,n_green,n_red, fuseProb, dieProb, birthProb

0.0, 250.0, 0.0, 122.0, 128.0, 0.0, 122.0, 128.0, 1.0E-5, 0.01, 0.2
100.0, 9938.0, 8.0, 4884.0, 5046.0, 0.0, 4889.0, 5049.0, 1.0E-5, 0.01, 0.2
200.0, 9942.0, 27.0, 4933.0, 4982.0, 0.0, 4949.0, 4993.0, 1.0E-5, 0.01, 0.2
300.0, 9951.0, 34.0, 4879.0, 5038.0, 0.0, 4899.0, 5052.0, 1.0E-5, 0.01, 0.2
400.0, 9943.0, 30.0, 4940.0, 4973.0, 0.0, 4963.0, 4980.0, 1.0E-5, 0.01, 0.2
500.0, 9951.0, 29.0, 4972.0, 4950.0, 1.0, 4993.0, 4957.0, 1.0E-5, 0.01, 0.2
600.0, 9941.0, 32.0, 4952.0, 4957.0, 3.0, 4969.0, 4969.0, 1.0E-5, 0.01, 0.2
700.0, 9946.0, 38.0, 5027.0, 4881.0, 3.0, 5049.0, 4894.0, 1.0E-5, 0.01, 0.2
800.0, 9930.0, 50.0, 5019.0, 4861.0, 2.0, 5049.0, 4879.0, 1.0E-5, 0.01, 0.2
900.0, 9935.0, 74.0, 5039.0, 4822.0, 11.0, 5074.0, 4850.0, 1.0E-5, 0.01, 0.2
1000.0, 9932.0, 93.0, 5025.0, 4814.0, 10.0, 5070.0, 4852.0, 1.0E-5, 0.01, 0.2
1100.0, 9926.0, 102.0, 4920.0, 4904.0, 9.0, 4974.0, 4943.0, 1.0E-5, 0.01, 0.2
1200.0, 9943.0, 114.0, 5016.0, 4813.0, 2.0, 5068.0, 4873.0, 1.0E-5, 0.01, 0.2
1300.0, 9942.0, 128.0, 4957.0, 4857.0, 0.0, 5017.0, 4925.0, 1.0E-5, 0.01, 0.2
1400.0, 9941.0, 158.0, 4919.0, 4864.0, 2.0, 5003.0, 4936.0, 1.0E-5, 0.01, 0.2
1500.0, 9938.0, 179.0, 4933.0, 4826.0, 0.0, 5029.0, 4909.0, 1.0E-5, 0.01, 0.2
1600.0, 9939.0, 164.0, 4926.0, 4849.0, 2.0, 5010.0, 4927.0, 1.0E-5, 0.01, 0.2
1700.0, 9943.0, 188.0, 4928.0, 4827.0, 6.0, 5026.0, 4911.0, 1.0E-5, 0.01, 0.2
1800.0, 9937.0, 189.0, 4974.0, 4774.0, 5.0, 5088.0, 4844.0, 1.0E-5, 0.01, 0.2
1900.0, 9931.0, 153.0, 5051.0, 4727.0, 1.0, 5139.0, 4791.0, 1.0E-5, 0.01, 0.2
2000.0, 9937.0, 164.0, 5104.0, 4669.0, 7.0, 5201.0, 4729.0, 1.0E-5, 0.01, 0.2
2100.0, 9955.0, 190.0, 5162.0, 4603.0, 9.0, 5271.0, 4675.0, 1.0E-5, 0.01, 0.2
2200.0, 9933.0, 197.0, 5143.0, 4593.0, 7.0, 5249.0, 4677.0, 1.0E-5, 0.01, 0.2
2300.0, 9942.0, 212.0, 5124.0, 4606.0, 12.0, 5236.0, 4694.0, 1.0E-5, 0.01, 0.2
2400.0, 9941.0, 224.0, 5002.0, 4715.0, 20.0, 5106.0, 4815.0, 1.0E-5, 0.01, 0.2
2500.0, 9944.0, 222.0, 5004.0, 4718.0, 20.0, 5118.0, 4806.0, 1.0E-5, 0.01, 0.2
2600.0, 9947.0, 236.0, 4998.0, 4713.0, 33.0, 5112.0, 4802.0, 1.0E-5, 0.01, 0.2
2700.0, 9939.0, 301.0, 4978.0, 4660.0, 41.0, 5118.0, 4780.0, 1.0E-5, 0.01, 0.2
2800.0, 9940.0, 318.0, 4930.0, 4692.0, 59.0, 5062.0, 4819.0, 1.0E-5, 0.01, 0.2
2900.0, 9923.0, 347.0, 4920.0, 4656.0, 73.0, 5056.0, 4794.0, 1.0E-5, 0.01, 0.2
3000.0, 9938.0, 382.0, 4849.0, 4707.0, 94.0, 5001.0, 4843.0, 1.0E-5, 0.01, 0.2
3100.0, 9936.0, 377.0, 4990.0, 4569.0, 92.0, 5133.0, 4711.0, 1.0E-5, 0.01, 0.2
3200.0, 9933.0, 380.0, 5021.0, 4532.0, 104.0, 5158.0, 4671.0, 1.0E-5, 0.01, 0.2
3300.0, 9946.0, 394.0, 4986.0, 4566.0, 104.0, 5152.0, 4690.0, 1.0E-5, 0.01, 0.2
3400.0, 9938.0, 395.0, 4889.0, 4654.0, 97.0, 5064.0, 4777.0, 1.0E-5, 0.01, 0.2
3500.0, 9930.0, 394.0, 4871.0, 4665.0, 89.0, 5042.0, 4799.0, 1.0E-5, 0.01, 0.2
3600.0, 9934.0, 416.0, 4779.0, 4739.0, 102.0, 4952.0, 4880.0, 1.0E-5, 0.01, 0.2
3700.0, 9948.0, 432.0, 4744.0, 4772.0, 108.0, 4928.0, 4912.0, 1.0E-5, 0.01, 0.2
3800.0, 9942.0, 413.0, 4703.0, 4826.0, 105.0, 4881.0, 4956.0, 1.0E-5, 0.01, 0.2
3900.0, 9938.0, 407.0, 4714.0, 4817.0, 117.0, 4868.0, 4953.0, 1.0E-5, 0.01, 0.2
4000.0, 9942.0, 417.0, 4802.0, 4723.0, 115.0, 4957.0, 4870.0, 1.0E-5, 0.01, 0.2
4100.0, 9929.0, 427.0, 4772.0, 4730.0, 121.0, 4926.0, 4882.0, 1.0E-5, 0.01, 0.2
4200.0, 9945.0, 429.0, 4772.0, 4744.0, 112.0, 4949.0, 4884.0, 1.0E-5, 0.01, 0.2
4300.0, 9933.0, 393.0, 4799.0, 4741.0, 96.0, 4968.0, 4869.0, 1.0E-5, 0.01, 0.2
4400.0, 9940.0, 448.0, 4694.0, 4798.0, 114.0, 4864.0, 4962.0, 1.0E-5, 0.01, 0.2
4500.0, 9928.0, 438.0, 4709.0, 4781.0, 122.0, 4879.0, 4927.0, 1.0E-5, 0.01, 0.2
4600.0, 9952.0, 427.0, 4662.0, 4863.0, 114.0, 4829.0, 5009.0, 1.0E-5, 0.01, 0.2
4700.0, 9920.0, 396.0, 4643.0, 4881.0, 112.0, 4772.0, 5036.0, 1.0E-5, 0.01, 0.2
