TIdx,Pop,n_fused,n_parental,n_resistant,n_yellow,n_green,n_red, fuseProb, dieProb, birthProb

TIdx,Pop,n_fused,n_parental,n_resistant,n_yellow,n_green,n_red, fuseProb, dieProb, birthProb

0.0, 232.0, 0.0, 112.0, 120.0, 0.0, 112.0, 120.0, 1.0E-5, 0.01, 0.2
100.0, 9926.0, 10.0, 4796.0, 5120.0, 0.0, 4802.0, 5124.0, 1.0E-5, 0.01, 0.2
200.0, 9930.0, 19.0, 4784.0, 5127.0, 2.0, 4797.0, 5131.0, 1.0E-5, 0.01, 0.2
300.0, 9945.0, 17.0, 4774.0, 5154.0, 0.0, 4783.0, 5162.0, 1.0E-5, 0.01, 0.2
400.0, 9944.0, 29.0, 4778.0, 5137.0, 2.0, 4792.0, 5150.0, 1.0E-5, 0.01, 0.2
500.0, 9940.0, 55.0, 4666.0, 5219.0, 2.0, 4697.0, 5241.0, 1.0E-5, 0.01, 0.2
600.0, 9953.0, 59.0, 4602.0, 5292.0, 2.0, 4638.0, 5313.0, 1.0E-5, 0.01, 0.2
700.0, 9937.0, 78.0, 4655.0, 5204.0, 5.0, 4699.0, 5233.0, 1.0E-5, 0.01, 0.2
800.0, 9939.0, 96.0, 4686.0, 5157.0, 5.0, 4750.0, 5184.0, 1.0E-5, 0.01, 0.2
900.0, 9931.0, 125.0, 4563.0, 5243.0, 8.0, 4639.0, 5284.0, 1.0E-5, 0.01, 0.2
1000.0, 9941.0, 145.0, 4547.0, 5249.0, 10.0, 4631.0, 5300.0, 1.0E-5, 0.01, 0.2
1100.0, 9952.0, 142.0, 4582.0, 5228.0, 12.0, 4658.0, 5282.0, 1.0E-5, 0.01, 0.2
1200.0, 9938.0, 153.0, 4635.0, 5150.0, 14.0, 4704.0, 5220.0, 1.0E-5, 0.01, 0.2
1300.0, 9932.0, 172.0, 4681.0, 5079.0, 25.0, 4754.0, 5153.0, 1.0E-5, 0.01, 0.2
1400.0, 9947.0, 199.0, 4646.0, 5102.0, 31.0, 4724.0, 5192.0, 1.0E-5, 0.01, 0.2
1500.0, 9934.0, 179.0, 4650.0, 5105.0, 21.0, 4727.0, 5186.0, 1.0E-5, 0.01, 0.2
1600.0, 9944.0, 192.0, 4644.0, 5108.0, 27.0, 4731.0, 5186.0, 1.0E-5, 0.01, 0.2
1700.0, 9951.0, 203.0, 4664.0, 5084.0, 32.0, 4773.0, 5146.0, 1.0E-5, 0.01, 0.2
1800.0, 9924.0, 204.0, 4680.0, 5040.0, 35.0, 4790.0, 5099.0, 1.0E-5, 0.01, 0.2
1900.0, 9936.0, 207.0, 4687.0, 5042.0, 42.0, 4804.0, 5090.0, 1.0E-5, 0.01, 0.2
2000.0, 9940.0, 197.0, 4664.0, 5079.0, 39.0, 4773.0, 5128.0, 1.0E-5, 0.01, 0.2
2100.0, 9939.0, 215.0, 4691.0, 5033.0, 42.0, 4813.0, 5084.0, 1.0E-5, 0.01, 0.2
2200.0, 9936.0, 241.0, 4734.0, 4961.0, 42.0, 4893.0, 5001.0, 1.0E-5, 0.01, 0.2
2300.0, 9935.0, 230.0, 4740.0, 4965.0, 47.0, 4896.0, 4992.0, 1.0E-5, 0.01, 0.2
2400.0, 9933.0, 249.0, 4651.0, 5033.0, 39.0, 4814.0, 5080.0, 1.0E-5, 0.01, 0.2
2500.0, 9931.0, 279.0, 4688.0, 4964.0, 45.0, 4878.0, 5008.0, 1.0E-5, 0.01, 0.2
2600.0, 9955.0, 250.0, 4709.0, 4996.0, 43.0, 4881.0, 5031.0, 1.0E-5, 0.01, 0.2
2700.0, 9943.0, 267.0, 4717.0, 4959.0, 52.0, 4888.0, 5003.0, 1.0E-5, 0.01, 0.2
2800.0, 9937.0, 259.0, 4779.0, 4899.0, 47.0, 4950.0, 4940.0, 1.0E-5, 0.01, 0.2
2900.0, 9916.0, 265.0, 4758.0, 4893.0, 50.0, 4937.0, 4929.0, 1.0E-5, 0.01, 0.2
3000.0, 9943.0, 267.0, 4787.0, 4889.0, 51.0, 4959.0, 4933.0, 1.0E-5, 0.01, 0.2
3100.0, 9952.0, 275.0, 4786.0, 4891.0, 54.0, 4944.0, 4954.0, 1.0E-5, 0.01, 0.2
3200.0, 9939.0, 261.0, 4722.0, 4956.0, 42.0, 4881.0, 5016.0, 1.0E-5, 0.01, 0.2
3300.0, 9942.0, 229.0, 4713.0, 5000.0, 33.0, 4846.0, 5063.0, 1.0E-5, 0.01, 0.2
3400.0, 9952.0, 287.0, 4663.0, 5002.0, 39.0, 4817.0, 5096.0, 1.0E-5, 0.01, 0.2
3500.0, 9943.0, 308.0, 4615.0, 5020.0, 47.0, 4776.0, 5120.0, 1.0E-5, 0.01, 0.2
3600.0, 9944.0, 293.0, 4545.0, 5106.0, 45.0, 4690.0, 5209.0, 1.0E-5, 0.01, 0.2
3700.0, 9936.0, 296.0, 4518.0, 5122.0, 45.0, 4669.0, 5222.0, 1.0E-5, 0.01, 0.2
3800.0, 9932.0, 308.0, 4503.0, 5121.0, 36.0, 4662.0, 5234.0, 1.0E-5, 0.01, 0.2
3900.0, 9943.0, 309.0, 4498.0, 5136.0, 39.0, 4649.0, 5255.0, 1.0E-5, 0.01, 0.2
4000.0, 9936.0, 309.0, 4451.0, 5176.0, 40.0, 4611.0, 5285.0, 1.0E-5, 0.01, 0.2
4100.0, 9934.0, 319.0, 4533.0, 5082.0, 37.0, 4707.0, 5190.0, 1.0E-5, 0.01, 0.2
4200.0, 9935.0, 362.0, 4573.0, 5000.0, 37.0, 4775.0, 5123.0, 1.0E-5, 0.01, 0.2
4300.0, 9943.0, 359.0, 4581.0, 5003.0, 26.0, 4779.0, 5138.0, 1.0E-5, 0.01, 0.2
4400.0, 9926.0, 374.0, 4557.0, 4995.0, 38.0, 4756.0, 5132.0, 1.0E-5, 0.01, 0.2
4500.0, 9937.0, 389.0, 4526.0, 5022.0, 42.0, 4742.0, 5153.0, 1.0E-5, 0.01, 0.2
4600.0, 9937.0, 434.0, 4457.0, 5046.0, 33.0, 4698.0, 5206.0, 1.0E-5, 0.01, 0.2
4700.0, 9930.0, 451.0, 4463.0, 5016.0, 27.0, 4718.0, 5185.0, 1.0E-5, 0.01, 0.2
