TIdx,Pop,n_fused,n_parental,n_resistant,n_yellow,n_green,n_red, fuseProb, dieProb, birthProb

0.0, 233.0, 0.0, 120.0, 113.0, 0.0, 120.0, 113.0, 1.0E-5, 0.01, 0.2
10.0, 1255.0, 2.0, 613.0, 640.0, 0.0, 613.0, 642.0, 1.0E-5, 0.01, 0.2
20.0, 4565.0, 9.0, 2303.0, 2253.0, 0.0, 2303.0, 2262.0, 1.0E-5, 0.01, 0.2
30.0, 8263.0, 19.0, 4319.0, 3925.0, 0.0, 4320.0, 3943.0, 1.0E-5, 0.01, 0.2
40.0, 9659.0, 26.0, 5114.0, 4519.0, 1.0, 5115.0, 4543.0, 1.0E-5, 0.01, 0.2
50.0, 9910.0, 28.0, 5235.0, 4647.0, 1.0, 5236.0, 4673.0, 1.0E-5, 0.01, 0.2
60.0, 9931.0, 29.0, 5241.0, 4661.0, 1.0, 5243.0, 4687.0, 1.0E-5, 0.01, 0.2
70.0, 9928.0, 32.0, 5236.0, 4660.0, 2.0, 5238.0, 4688.0, 1.0E-5, 0.01, 0.2
80.0, 9949.0, 31.0, 5242.0, 4676.0, 1.0, 5246.0, 4702.0, 1.0E-5, 0.01, 0.2
90.0, 9940.0, 35.0, 5256.0, 4649.0, 1.0, 5260.0, 4679.0, 1.0E-5, 0.01, 0.2
100.0, 9946.0, 37.0, 5263.0, 4646.0, 1.0, 5266.0, 4679.0, 1.0E-5, 0.01, 0.2
110.0, 9926.0, 38.0, 5248.0, 4640.0, 1.0, 5253.0, 4672.0, 1.0E-5, 0.01, 0.2
120.0, 9939.0, 38.0, 5234.0, 4667.0, 1.0, 5240.0, 4698.0, 1.0E-5, 0.01, 0.2
130.0, 9933.0, 39.0, 5238.0, 4656.0, 1.0, 5245.0, 4687.0, 1.0E-5, 0.01, 0.2
140.0, 9949.0, 42.0, 5238.0, 4669.0, 2.0, 5247.0, 4700.0, 1.0E-5, 0.01, 0.2
150.0, 9938.0, 43.0, 5238.0, 4657.0, 4.0, 5246.0, 4688.0, 1.0E-5, 0.01, 0.2
160.0, 9940.0, 43.0, 5237.0, 4660.0, 4.0, 5244.0, 4692.0, 1.0E-5, 0.01, 0.2
170.0, 9933.0, 44.0, 5248.0, 4641.0, 3.0, 5256.0, 4674.0, 1.0E-5, 0.01, 0.2
180.0, 9928.0, 44.0, 5240.0, 4644.0, 3.0, 5248.0, 4677.0, 1.0E-5, 0.01, 0.2
190.0, 9931.0, 47.0, 5248.0, 4636.0, 4.0, 5256.0, 4671.0, 1.0E-5, 0.01, 0.2
