TIdx,Pop,n_fused,n_parental,n_resistant,n_yellow,n_green,n_red, fuseProb, dieProb, birthProb

0.0, 240.0, 0.0, 120.0, 120.0, 0.0, 120.0, 120.0, 1.0E-5, 0.01, 0.2
10.0, 1316.0, 0.0, 655.0, 661.0, 0.0, 655.0, 661.0, 1.0E-5, 0.01, 0.2
20.0, 4863.0, 0.0, 2489.0, 2374.0, 0.0, 2489.0, 2374.0, 1.0E-5, 0.01, 0.2
30.0, 8479.0, 1.0, 4460.0, 4018.0, 0.0, 4461.0, 4018.0, 1.0E-5, 0.01, 0.2
40.0, 9788.0, 3.0, 5202.0, 4583.0, 0.0, 5205.0, 4583.0, 1.0E-5, 0.01, 0.2
50.0, 9943.0, 3.0, 5319.0, 4621.0, 0.0, 5322.0, 4621.0, 1.0E-5, 0.01, 0.2
60.0, 9947.0, 3.0, 5335.0, 4609.0, 0.0, 5338.0, 4609.0, 1.0E-5, 0.01, 0.2
70.0, 9933.0, 6.0, 5330.0, 4597.0, 0.0, 5333.0, 4600.0, 1.0E-5, 0.01, 0.2
80.0, 9934.0, 8.0, 5308.0, 4618.0, 0.0, 5311.0, 4623.0, 1.0E-5, 0.01, 0.2
90.0, 9942.0, 11.0, 5318.0, 4613.0, 0.0, 5322.0, 4620.0, 1.0E-5, 0.01, 0.2
100.0, 9948.0, 12.0, 5313.0, 4623.0, 0.0, 5317.0, 4631.0, 1.0E-5, 0.01, 0.2
110.0, 9937.0, 13.0, 5322.0, 4602.0, 0.0, 5327.0, 4610.0, 1.0E-5, 0.01, 0.2
120.0, 9942.0, 12.0, 5324.0, 4606.0, 0.0, 5330.0, 4612.0, 1.0E-5, 0.01, 0.2
130.0, 9950.0, 13.0, 5325.0, 4612.0, 0.0, 5331.0, 4619.0, 1.0E-5, 0.01, 0.2
140.0, 9940.0, 12.0, 5313.0, 4615.0, 0.0, 5318.0, 4622.0, 1.0E-5, 0.01, 0.2
150.0, 9939.0, 12.0, 5325.0, 4602.0, 0.0, 5331.0, 4608.0, 1.0E-5, 0.01, 0.2
160.0, 9939.0, 16.0, 5338.0, 4585.0, 2.0, 5345.0, 4592.0, 1.0E-5, 0.01, 0.2
