TIdx,Pop,n_fused,n_parental,n_resistant,n_yellow,n_green,n_red, fuseProb, dieProb, birthProb

0.0, 232.0, 0.0, 118.0, 114.0, 0.0, 118.0, 114.0, 1.0E-4, 0.01, 0.2
10.0, 1119.0, 0.0, 550.0, 569.0, 0.0, 550.0, 569.0, 1.0E-4, 0.01, 0.2
20.0, 4266.0, 6.0, 2168.0, 2092.0, 0.0, 2172.0, 2094.0, 1.0E-4, 0.01, 0.2
30.0, 8100.0, 20.0, 4089.0, 3991.0, 0.0, 4102.0, 3998.0, 1.0E-4, 0.01, 0.2
40.0, 9676.0, 45.0, 4935.0, 4696.0, 3.0, 4957.0, 4716.0, 1.0E-4, 0.01, 0.2
50.0, 9935.0, 69.0, 5029.0, 4837.0, 3.0, 5055.0, 4877.0, 1.0E-4, 0.01, 0.2
60.0, 9939.0, 77.0, 5042.0, 4820.0, 5.0, 5069.0, 4865.0, 1.0E-4, 0.01, 0.2
70.0, 9938.0, 94.0, 5043.0, 4801.0, 7.0, 5077.0, 4854.0, 1.0E-4, 0.01, 0.2
80.0, 9952.0, 102.0, 5050.0, 4800.0, 8.0, 5090.0, 4854.0, 1.0E-4, 0.01, 0.2
90.0, 9926.0, 111.0, 5023.0, 4792.0, 11.0, 5064.0, 4851.0, 1.0E-4, 0.01, 0.2
100.0, 9941.0, 122.0, 5035.0, 4784.0, 12.0, 5081.0, 4848.0, 1.0E-4, 0.01, 0.2
110.0, 9953.0, 131.0, 5020.0, 4802.0, 11.0, 5072.0, 4870.0, 1.0E-4, 0.01, 0.2
120.0, 9935.0, 136.0, 5016.0, 4783.0, 12.0, 5074.0, 4849.0, 1.0E-4, 0.01, 0.2
130.0, 9933.0, 160.0, 5007.0, 4766.0, 15.0, 5080.0, 4838.0, 1.0E-4, 0.01, 0.2
140.0, 9939.0, 164.0, 4991.0, 4784.0, 17.0, 5061.0, 4861.0, 1.0E-4, 0.01, 0.2
150.0, 9938.0, 176.0, 4980.0, 4782.0, 19.0, 5051.0, 4868.0, 1.0E-4, 0.01, 0.2
160.0, 9947.0, 199.0, 5021.0, 4727.0, 21.0, 5104.0, 4822.0, 1.0E-4, 0.01, 0.2
170.0, 9949.0, 220.0, 5013.0, 4716.0, 27.0, 5106.0, 4816.0, 1.0E-4, 0.01, 0.2
180.0, 9938.0, 242.0, 5004.0, 4692.0, 31.0, 5107.0, 4800.0, 1.0E-4, 0.01, 0.2
190.0, 9944.0, 257.0, 4981.0, 4706.0, 31.0, 5094.0, 4819.0, 1.0E-4, 0.01, 0.2
200.0, 9929.0, 256.0, 4981.0, 4692.0, 31.0, 5093.0, 4805.0, 1.0E-4, 0.01, 0.2
210.0, 9937.0, 261.0, 4990.0, 4686.0, 32.0, 5101.0, 4804.0, 1.0E-4, 0.01, 0.2
220.0, 9950.0, 277.0, 4974.0, 4699.0, 37.0, 5090.0, 4823.0, 1.0E-4, 0.01, 0.2
230.0, 9925.0, 291.0, 4967.0, 4667.0, 44.0, 5085.0, 4796.0, 1.0E-4, 0.01, 0.2
240.0, 9934.0, 290.0, 4981.0, 4663.0, 45.0, 5095.0, 4794.0, 1.0E-4, 0.01, 0.2
250.0, 9936.0, 308.0, 4963.0, 4665.0, 46.0, 5090.0, 4800.0, 1.0E-4, 0.01, 0.2
260.0, 9947.0, 322.0, 4958.0, 4667.0, 50.0, 5095.0, 4802.0, 1.0E-4, 0.01, 0.2
270.0, 9942.0, 328.0, 4960.0, 4654.0, 54.0, 5087.0, 4801.0, 1.0E-4, 0.01, 0.2
280.0, 9932.0, 330.0, 4971.0, 4631.0, 55.0, 5098.0, 4779.0, 1.0E-4, 0.01, 0.2
290.0, 9928.0, 324.0, 4966.0, 4638.0, 51.0, 5092.0, 4785.0, 1.0E-4, 0.01, 0.2
300.0, 9950.0, 320.0, 4963.0, 4667.0, 53.0, 5079.0, 4818.0, 1.0E-4, 0.01, 0.2
310.0, 9939.0, 330.0, 4926.0, 4683.0, 56.0, 5046.0, 4837.0, 1.0E-4, 0.01, 0.2
320.0, 9940.0, 353.0, 4888.0, 4699.0, 62.0, 5011.0, 4867.0, 1.0E-4, 0.01, 0.2
330.0, 9944.0, 362.0, 4890.0, 4692.0, 69.0, 5011.0, 4864.0, 1.0E-4, 0.01, 0.2
340.0, 9950.0, 380.0, 4868.0, 4702.0, 71.0, 4999.0, 4880.0, 1.0E-4, 0.01, 0.2
350.0, 9940.0, 388.0, 4846.0, 4706.0, 72.0, 4984.0, 4884.0, 1.0E-4, 0.01, 0.2
360.0, 9940.0, 389.0, 4859.0, 4692.0, 70.0, 5002.0, 4868.0, 1.0E-4, 0.01, 0.2
370.0, 9948.0, 399.0, 4854.0, 4695.0, 69.0, 4997.0, 4882.0, 1.0E-4, 0.01, 0.2
380.0, 9941.0, 413.0, 4827.0, 4701.0, 80.0, 4971.0, 4890.0, 1.0E-4, 0.01, 0.2
390.0, 9942.0, 418.0, 4839.0, 4685.0, 75.0, 4987.0, 4880.0, 1.0E-4, 0.01, 0.2
400.0, 9930.0, 428.0, 4846.0, 4656.0, 78.0, 4995.0, 4857.0, 1.0E-4, 0.01, 0.2
410.0, 9947.0, 452.0, 4839.0, 4656.0, 84.0, 5001.0, 4862.0, 1.0E-4, 0.01, 0.2
420.0, 9938.0, 463.0, 4832.0, 4643.0, 92.0, 4988.0, 4858.0, 1.0E-4, 0.01, 0.2
430.0, 9942.0, 475.0, 4836.0, 4631.0, 95.0, 4993.0, 4854.0, 1.0E-4, 0.01, 0.2
440.0, 9933.0, 490.0, 4870.0, 4573.0, 97.0, 5036.0, 4800.0, 1.0E-4, 0.01, 0.2
450.0, 9942.0, 507.0, 4868.0, 4567.0, 98.0, 5043.0, 4801.0, 1.0E-4, 0.01, 0.2
460.0, 9936.0, 538.0, 4856.0, 4542.0, 112.0, 5030.0, 4794.0, 1.0E-4, 0.01, 0.2
470.0, 9933.0, 538.0, 4852.0, 4543.0, 110.0, 5025.0, 4798.0, 1.0E-4, 0.01, 0.2
480.0, 9938.0, 543.0, 4864.0, 4531.0, 116.0, 5038.0, 4784.0, 1.0E-4, 0.01, 0.2
490.0, 9929.0, 559.0, 4819.0, 4551.0, 117.0, 5001.0, 4811.0, 1.0E-4, 0.01, 0.2
500.0, 9934.0, 571.0, 4822.0, 4541.0, 115.0, 5008.0, 4811.0, 1.0E-4, 0.01, 0.2
510.0, 9940.0, 591.0, 4841.0, 4508.0, 117.0, 5031.0, 4792.0, 1.0E-4, 0.01, 0.2
520.0, 9942.0, 600.0, 4849.0, 4493.0, 121.0, 5040.0, 4781.0, 1.0E-4, 0.01, 0.2
530.0, 9934.0, 618.0, 4827.0, 4489.0, 119.0, 5029.0, 4786.0, 1.0E-4, 0.01, 0.2
540.0, 9948.0, 638.0, 4837.0, 4473.0, 126.0, 5038.0, 4784.0, 1.0E-4, 0.01, 0.2
550.0, 9930.0, 657.0, 4832.0, 4441.0, 126.0, 5040.0, 4764.0, 1.0E-4, 0.01, 0.2
560.0, 9932.0, 679.0, 4814.0, 4439.0, 134.0, 5031.0, 4767.0, 1.0E-4, 0.01, 0.2
570.0, 9938.0, 691.0, 4799.0, 4448.0, 131.0, 5029.0, 4778.0, 1.0E-4, 0.01, 0.2
580.0, 9940.0, 685.0, 4806.0, 4449.0, 129.0, 5033.0, 4778.0, 1.0E-4, 0.01, 0.2
590.0, 9944.0, 699.0, 4789.0, 4456.0, 131.0, 5021.0, 4792.0, 1.0E-4, 0.01, 0.2
