TIdx,Pop,n_fused,n_parental,n_resistant,n_yellow,n_green,n_red, fuseProb, dieProb, birthProb

0.0, 249.0, 0.0, 125.0, 124.0, 0.0, 125.0, 124.0, 1.0E-4, 0.01, 0.2
10.0, 1322.0, 0.0, 682.0, 640.0, 0.0, 682.0, 640.0, 1.0E-4, 0.01, 0.2
20.0, 4758.0, 2.0, 2512.0, 2244.0, 1.0, 2512.0, 2245.0, 1.0E-4, 0.01, 0.2
30.0, 8540.0, 24.0, 4579.0, 3937.0, 3.0, 4588.0, 3949.0, 1.0E-4, 0.01, 0.2
40.0, 9802.0, 40.0, 5314.0, 4448.0, 3.0, 5332.0, 4467.0, 1.0E-4, 0.01, 0.2
50.0, 9917.0, 41.0, 5355.0, 4521.0, 2.0, 5373.0, 4542.0, 1.0E-4, 0.01, 0.2
60.0, 9933.0, 52.0, 5371.0, 4510.0, 5.0, 5393.0, 4535.0, 1.0E-4, 0.01, 0.2
70.0, 9938.0, 63.0, 5375.0, 4500.0, 8.0, 5399.0, 4531.0, 1.0E-4, 0.01, 0.2
80.0, 9919.0, 66.0, 5360.0, 4493.0, 7.0, 5382.0, 4530.0, 1.0E-4, 0.01, 0.2
90.0, 9961.0, 82.0, 5357.0, 4522.0, 8.0, 5392.0, 4561.0, 1.0E-4, 0.01, 0.2
100.0, 9951.0, 82.0, 5338.0, 4531.0, 11.0, 5375.0, 4565.0, 1.0E-4, 0.01, 0.2
110.0, 9935.0, 96.0, 5328.0, 4511.0, 11.0, 5372.0, 4552.0, 1.0E-4, 0.01, 0.2
120.0, 9932.0, 107.0, 5324.0, 4501.0, 11.0, 5373.0, 4548.0, 1.0E-4, 0.01, 0.2
130.0, 9935.0, 120.0, 5291.0, 4524.0, 14.0, 5343.0, 4578.0, 1.0E-4, 0.01, 0.2
140.0, 9942.0, 124.0, 5321.0, 4497.0, 14.0, 5377.0, 4551.0, 1.0E-4, 0.01, 0.2
150.0, 9939.0, 136.0, 5294.0, 4509.0, 14.0, 5353.0, 4572.0, 1.0E-4, 0.01, 0.2
160.0, 9917.0, 141.0, 5272.0, 4504.0, 15.0, 5338.0, 4564.0, 1.0E-4, 0.01, 0.2
170.0, 9941.0, 155.0, 5257.0, 4529.0, 18.0, 5330.0, 4593.0, 1.0E-4, 0.01, 0.2
180.0, 9940.0, 169.0, 5228.0, 4543.0, 21.0, 5307.0, 4612.0, 1.0E-4, 0.01, 0.2
190.0, 9954.0, 177.0, 5218.0, 4559.0, 24.0, 5299.0, 4631.0, 1.0E-4, 0.01, 0.2
200.0, 9926.0, 190.0, 5199.0, 4537.0, 28.0, 5278.0, 4620.0, 1.0E-4, 0.01, 0.2
210.0, 9933.0, 203.0, 5205.0, 4525.0, 30.0, 5290.0, 4613.0, 1.0E-4, 0.01, 0.2
220.0, 9932.0, 213.0, 5206.0, 4513.0, 29.0, 5299.0, 4604.0, 1.0E-4, 0.01, 0.2
230.0, 9957.0, 220.0, 5191.0, 4546.0, 26.0, 5290.0, 4641.0, 1.0E-4, 0.01, 0.2
240.0, 9935.0, 230.0, 5177.0, 4528.0, 25.0, 5281.0, 4629.0, 1.0E-4, 0.01, 0.2
250.0, 9943.0, 244.0, 5188.0, 4511.0, 28.0, 5299.0, 4616.0, 1.0E-4, 0.01, 0.2
260.0, 9945.0, 256.0, 5180.0, 4509.0, 26.0, 5299.0, 4620.0, 1.0E-4, 0.01, 0.2
