TIdx,Pop,n_fused,n_parental,n_resistant,n_yellow,n_green,n_red, fuseProb, dieProb, birthProb

0.0, 239.0, 0.0, 117.0, 122.0, 0.0, 117.0, 122.0, 1.0E-4, 0.01, 0.2
10.0, 1234.0, 0.0, 670.0, 564.0, 0.0, 670.0, 564.0, 1.0E-4, 0.01, 0.2
20.0, 4805.0, 0.0, 2570.0, 2235.0, 0.0, 2570.0, 2235.0, 1.0E-4, 0.01, 0.2
30.0, 8672.0, 14.0, 4587.0, 4071.0, 0.0, 4589.0, 4083.0, 1.0E-4, 0.01, 0.2
40.0, 9794.0, 26.0, 5169.0, 4599.0, 2.0, 5173.0, 4619.0, 1.0E-4, 0.01, 0.2
50.0, 9935.0, 35.0, 5210.0, 4690.0, 3.0, 5219.0, 4713.0, 1.0E-4, 0.01, 0.2
60.0, 9946.0, 49.0, 5223.0, 4674.0, 5.0, 5238.0, 4703.0, 1.0E-4, 0.01, 0.2
70.0, 9934.0, 58.0, 5219.0, 4657.0, 6.0, 5236.0, 4692.0, 1.0E-4, 0.01, 0.2
80.0, 9940.0, 63.0, 5188.0, 4689.0, 7.0, 5207.0, 4726.0, 1.0E-4, 0.01, 0.2
90.0, 9941.0, 74.0, 5211.0, 4656.0, 8.0, 5233.0, 4700.0, 1.0E-4, 0.01, 0.2
100.0, 9931.0, 90.0, 5190.0, 4651.0, 9.0, 5218.0, 4704.0, 1.0E-4, 0.01, 0.2
110.0, 9943.0, 96.0, 5191.0, 4656.0, 10.0, 5222.0, 4711.0, 1.0E-4, 0.01, 0.2
120.0, 9933.0, 114.0, 5152.0, 4667.0, 15.0, 5191.0, 4727.0, 1.0E-4, 0.01, 0.2
130.0, 9941.0, 115.0, 5159.0, 4667.0, 15.0, 5199.0, 4727.0, 1.0E-4, 0.01, 0.2
140.0, 9937.0, 123.0, 5158.0, 4656.0, 16.0, 5196.0, 4725.0, 1.0E-4, 0.01, 0.2
150.0, 9928.0, 139.0, 5127.0, 4662.0, 22.0, 5175.0, 4731.0, 1.0E-4, 0.01, 0.2
160.0, 9935.0, 160.0, 5129.0, 4646.0, 25.0, 5185.0, 4725.0, 1.0E-4, 0.01, 0.2
170.0, 9934.0, 170.0, 5120.0, 4644.0, 31.0, 5178.0, 4725.0, 1.0E-4, 0.01, 0.2
180.0, 9941.0, 178.0, 5109.0, 4654.0, 32.0, 5168.0, 4741.0, 1.0E-4, 0.01, 0.2
190.0, 9944.0, 197.0, 5129.0, 4618.0, 33.0, 5198.0, 4713.0, 1.0E-4, 0.01, 0.2
200.0, 9950.0, 196.0, 5114.0, 4640.0, 31.0, 5184.0, 4735.0, 1.0E-4, 0.01, 0.2
210.0, 9935.0, 205.0, 5119.0, 4611.0, 31.0, 5194.0, 4710.0, 1.0E-4, 0.01, 0.2
220.0, 9937.0, 210.0, 5119.0, 4608.0, 30.0, 5200.0, 4707.0, 1.0E-4, 0.01, 0.2
230.0, 9934.0, 227.0, 5095.0, 4612.0, 28.0, 5187.0, 4719.0, 1.0E-4, 0.01, 0.2
240.0, 9939.0, 246.0, 5067.0, 4626.0, 33.0, 5169.0, 4737.0, 1.0E-4, 0.01, 0.2
250.0, 9945.0, 259.0, 5057.0, 4629.0, 30.0, 5169.0, 4746.0, 1.0E-4, 0.01, 0.2
260.0, 9941.0, 277.0, 5049.0, 4615.0, 29.0, 5169.0, 4743.0, 1.0E-4, 0.01, 0.2
270.0, 9931.0, 283.0, 5046.0, 4602.0, 31.0, 5171.0, 4729.0, 1.0E-4, 0.01, 0.2
280.0, 9929.0, 297.0, 5043.0, 4589.0, 31.0, 5177.0, 4721.0, 1.0E-4, 0.01, 0.2
290.0, 9942.0, 306.0, 5035.0, 4601.0, 33.0, 5175.0, 4734.0, 1.0E-4, 0.01, 0.2
300.0, 9946.0, 309.0, 5050.0, 4587.0, 33.0, 5192.0, 4721.0, 1.0E-4, 0.01, 0.2
310.0, 9918.0, 317.0, 5059.0, 4542.0, 32.0, 5203.0, 4683.0, 1.0E-4, 0.01, 0.2
320.0, 9949.0, 329.0, 5060.0, 4560.0, 37.0, 5206.0, 4706.0, 1.0E-4, 0.01, 0.2
330.0, 9929.0, 338.0, 5043.0, 4548.0, 36.0, 5190.0, 4703.0, 1.0E-4, 0.01, 0.2
340.0, 9944.0, 346.0, 5055.0, 4543.0, 39.0, 5200.0, 4705.0, 1.0E-4, 0.01, 0.2
350.0, 9933.0, 357.0, 5049.0, 4527.0, 38.0, 5200.0, 4695.0, 1.0E-4, 0.01, 0.2
360.0, 9935.0, 356.0, 5051.0, 4528.0, 38.0, 5202.0, 4695.0, 1.0E-4, 0.01, 0.2
370.0, 9941.0, 356.0, 5040.0, 4545.0, 38.0, 5192.0, 4711.0, 1.0E-4, 0.01, 0.2
380.0, 9953.0, 370.0, 5031.0, 4552.0, 40.0, 5189.0, 4724.0, 1.0E-4, 0.01, 0.2
390.0, 9936.0, 385.0, 5013.0, 4538.0, 42.0, 5176.0, 4718.0, 1.0E-4, 0.01, 0.2
400.0, 9939.0, 392.0, 5032.0, 4515.0, 42.0, 5205.0, 4692.0, 1.0E-4, 0.01, 0.2
410.0, 9943.0, 381.0, 5037.0, 4525.0, 41.0, 5201.0, 4701.0, 1.0E-4, 0.01, 0.2
