TIdx,Pop,n_fused,n_parental,n_resistant,n_yellow,n_green,n_red, fuseProb, dieProb, birthProb

0.0, 245.0, 0.0, 124.0, 121.0, 0.0, 124.0, 121.0, 0.001, 0.01, 0.2
10.0, 1333.0, 4.0, 672.0, 657.0, 0.0, 675.0, 658.0, 0.001, 0.01, 0.2
20.0, 5017.0, 67.0, 2485.0, 2465.0, 5.0, 2523.0, 2489.0, 0.001, 0.01, 0.2
30.0, 8426.0, 219.0, 4072.0, 4135.0, 12.0, 4197.0, 4217.0, 0.001, 0.01, 0.2
40.0, 9713.0, 384.0, 4681.0, 4648.0, 32.0, 4902.0, 4779.0, 0.001, 0.01, 0.2
50.0, 9933.0, 485.0, 4769.0, 4679.0, 46.0, 5035.0, 4852.0, 0.001, 0.01, 0.2
60.0, 9913.0, 588.0, 4694.0, 4631.0, 60.0, 5008.0, 4845.0, 0.001, 0.01, 0.2
70.0, 9943.0, 700.0, 4631.0, 4612.0, 83.0, 4992.0, 4868.0, 0.001, 0.01, 0.2
80.0, 9945.0, 804.0, 4588.0, 4553.0, 95.0, 5011.0, 4839.0, 0.001, 0.01, 0.2
90.0, 9934.0, 918.0, 4528.0, 4488.0, 111.0, 5003.0, 4820.0, 0.001, 0.01, 0.2
100.0, 9937.0, 1010.0, 4491.0, 4436.0, 125.0, 5002.0, 4810.0, 0.001, 0.01, 0.2
110.0, 9934.0, 1115.0, 4466.0, 4353.0, 136.0, 5020.0, 4778.0, 0.001, 0.01, 0.2
120.0, 9929.0, 1237.0, 4399.0, 4293.0, 154.0, 4999.0, 4776.0, 0.001, 0.01, 0.2
130.0, 9928.0, 1347.0, 4327.0, 4254.0, 169.0, 4977.0, 4782.0, 0.001, 0.01, 0.2
140.0, 9936.0, 1465.0, 4261.0, 4210.0, 193.0, 4965.0, 4778.0, 0.001, 0.01, 0.2
150.0, 9938.0, 1552.0, 4223.0, 4163.0, 216.0, 4949.0, 4773.0, 0.001, 0.01, 0.2
160.0, 9938.0, 1649.0, 4173.0, 4116.0, 233.0, 4929.0, 4776.0, 0.001, 0.01, 0.2
170.0, 9940.0, 1747.0, 4137.0, 4056.0, 257.0, 4915.0, 4768.0, 0.001, 0.01, 0.2
180.0, 9926.0, 1820.0, 4106.0, 4000.0, 256.0, 4917.0, 4753.0, 0.001, 0.01, 0.2
190.0, 9947.0, 1882.0, 4079.0, 3986.0, 262.0, 4925.0, 4760.0, 0.001, 0.01, 0.2
200.0, 9927.0, 1967.0, 3999.0, 3961.0, 282.0, 4884.0, 4761.0, 0.001, 0.01, 0.2
210.0, 9945.0, 2074.0, 3934.0, 3937.0, 297.0, 4878.0, 4770.0, 0.001, 0.01, 0.2
220.0, 9931.0, 2157.0, 3904.0, 3870.0, 331.0, 4874.0, 4726.0, 0.001, 0.01, 0.2
230.0, 9921.0, 2264.0, 3844.0, 3813.0, 358.0, 4837.0, 4726.0, 0.001, 0.01, 0.2
240.0, 9950.0, 2367.0, 3793.0, 3790.0, 387.0, 4830.0, 4733.0, 0.001, 0.01, 0.2
250.0, 9934.0, 2451.0, 3773.0, 3710.0, 397.0, 4826.0, 4711.0, 0.001, 0.01, 0.2
260.0, 9932.0, 2560.0, 3731.0, 3641.0, 411.0, 4815.0, 4706.0, 0.001, 0.01, 0.2
270.0, 9924.0, 2673.0, 3668.0, 3583.0, 429.0, 4794.0, 4701.0, 0.001, 0.01, 0.2
280.0, 9930.0, 2785.0, 3647.0, 3498.0, 443.0, 4827.0, 4660.0, 0.001, 0.01, 0.2
290.0, 9928.0, 2869.0, 3583.0, 3476.0, 459.0, 4790.0, 4679.0, 0.001, 0.01, 0.2
300.0, 9935.0, 2953.0, 3522.0, 3460.0, 475.0, 4776.0, 4684.0, 0.001, 0.01, 0.2
310.0, 9919.0, 3020.0, 3492.0, 3407.0, 515.0, 4764.0, 4640.0, 0.001, 0.01, 0.2
320.0, 9928.0, 3077.0, 3491.0, 3360.0, 514.0, 4774.0, 4640.0, 0.001, 0.01, 0.2
330.0, 9929.0, 3204.0, 3417.0, 3308.0, 537.0, 4747.0, 4645.0, 0.001, 0.01, 0.2
340.0, 9931.0, 3324.0, 3337.0, 3270.0, 554.0, 4719.0, 4658.0, 0.001, 0.01, 0.2
350.0, 9932.0, 3424.0, 3311.0, 3197.0, 583.0, 4719.0, 4630.0, 0.001, 0.01, 0.2
360.0, 9945.0, 3529.0, 3270.0, 3146.0, 599.0, 4727.0, 4619.0, 0.001, 0.01, 0.2
370.0, 9920.0, 3611.0, 3184.0, 3125.0, 606.0, 4703.0, 4611.0, 0.001, 0.01, 0.2
380.0, 9944.0, 3726.0, 3157.0, 3061.0, 621.0, 4739.0, 4584.0, 0.001, 0.01, 0.2
390.0, 9936.0, 3786.0, 3129.0, 3021.0, 644.0, 4720.0, 4572.0, 0.001, 0.01, 0.2
400.0, 9931.0, 3889.0, 3076.0, 2966.0, 664.0, 4712.0, 4555.0, 0.001, 0.01, 0.2
410.0, 9933.0, 3979.0, 3036.0, 2918.0, 686.0, 4688.0, 4559.0, 0.001, 0.01, 0.2
420.0, 9936.0, 4080.0, 2994.0, 2862.0, 731.0, 4671.0, 4534.0, 0.001, 0.01, 0.2
