TIdx,Pop,n_fused,n_parental,n_resistant,n_yellow,n_green,n_red, fuseProb, dieProb, birthProb

0.0, 243.0, 0.0, 118.0, 125.0, 0.0, 118.0, 125.0, 0.001, 0.01, 0.2
10.0, 1317.0, 15.0, 622.0, 680.0, 1.0, 632.0, 684.0, 0.001, 0.01, 0.2
20.0, 4690.0, 85.0, 2197.0, 2408.0, 2.0, 2239.0, 2449.0, 0.001, 0.01, 0.2
30.0, 7997.0, 170.0, 3767.0, 4060.0, 11.0, 3834.0, 4152.0, 0.001, 0.01, 0.2
40.0, 9464.0, 289.0, 4346.0, 4829.0, 21.0, 4470.0, 4973.0, 0.001, 0.01, 0.2
50.0, 9834.0, 421.0, 4464.0, 4949.0, 31.0, 4648.0, 5155.0, 0.001, 0.01, 0.2
60.0, 9920.0, 548.0, 4460.0, 4912.0, 44.0, 4715.0, 5161.0, 0.001, 0.01, 0.2
70.0, 9953.0, 659.0, 4417.0, 4877.0, 66.0, 4715.0, 5172.0, 0.001, 0.01, 0.2
80.0, 9928.0, 773.0, 4340.0, 4815.0, 86.0, 4678.0, 5164.0, 0.001, 0.01, 0.2
90.0, 9932.0, 877.0, 4307.0, 4748.0, 106.0, 4691.0, 5135.0, 0.001, 0.01, 0.2
100.0, 9925.0, 974.0, 4271.0, 4680.0, 118.0, 4686.0, 5121.0, 0.001, 0.01, 0.2
110.0, 9931.0, 1062.0, 4251.0, 4618.0, 128.0, 4702.0, 5101.0, 0.001, 0.01, 0.2
120.0, 9929.0, 1121.0, 4211.0, 4597.0, 129.0, 4691.0, 5109.0, 0.001, 0.01, 0.2
130.0, 9917.0, 1213.0, 4126.0, 4578.0, 154.0, 4648.0, 5115.0, 0.001, 0.01, 0.2
140.0, 9939.0, 1338.0, 4088.0, 4513.0, 164.0, 4675.0, 5100.0, 0.001, 0.01, 0.2
150.0, 9925.0, 1450.0, 4015.0, 4460.0, 181.0, 4656.0, 5088.0, 0.001, 0.01, 0.2
160.0, 9922.0, 1551.0, 3969.0, 4402.0, 195.0, 4645.0, 5082.0, 0.001, 0.01, 0.2
170.0, 9927.0, 1675.0, 3933.0, 4319.0, 203.0, 4651.0, 5073.0, 0.001, 0.01, 0.2
180.0, 9933.0, 1773.0, 3902.0, 4258.0, 215.0, 4647.0, 5071.0, 0.001, 0.01, 0.2
190.0, 9929.0, 1854.0, 3851.0, 4224.0, 218.0, 4629.0, 5082.0, 0.001, 0.01, 0.2
200.0, 9928.0, 1970.0, 3783.0, 4175.0, 242.0, 4611.0, 5075.0, 0.001, 0.01, 0.2
210.0, 9928.0, 2075.0, 3724.0, 4129.0, 259.0, 4600.0, 5069.0, 0.001, 0.01, 0.2
220.0, 9929.0, 2183.0, 3661.0, 4085.0, 283.0, 4577.0, 5069.0, 0.001, 0.01, 0.2
230.0, 9951.0, 2310.0, 3607.0, 4034.0, 293.0, 4582.0, 5076.0, 0.001, 0.01, 0.2
240.0, 9928.0, 2433.0, 3543.0, 3952.0, 313.0, 4556.0, 5059.0, 0.001, 0.01, 0.2
250.0, 9948.0, 2526.0, 3547.0, 3875.0, 320.0, 4596.0, 5032.0, 0.001, 0.01, 0.2
260.0, 9941.0, 2595.0, 3511.0, 3835.0, 327.0, 4598.0, 5016.0, 0.001, 0.01, 0.2
270.0, 9937.0, 2693.0, 3438.0, 3806.0, 338.0, 4585.0, 5014.0, 0.001, 0.01, 0.2
280.0, 9939.0, 2771.0, 3391.0, 3777.0, 354.0, 4569.0, 5016.0, 0.001, 0.01, 0.2
290.0, 9936.0, 2844.0, 3356.0, 3736.0, 369.0, 4556.0, 5011.0, 0.001, 0.01, 0.2
300.0, 9926.0, 2944.0, 3342.0, 3640.0, 382.0, 4583.0, 4961.0, 0.001, 0.01, 0.2
310.0, 9941.0, 3050.0, 3284.0, 3607.0, 397.0, 4569.0, 4975.0, 0.001, 0.01, 0.2
320.0, 9928.0, 3103.0, 3259.0, 3566.0, 399.0, 4572.0, 4957.0, 0.001, 0.01, 0.2
330.0, 9931.0, 3208.0, 3229.0, 3494.0, 424.0, 4575.0, 4932.0, 0.001, 0.01, 0.2
340.0, 9926.0, 3326.0, 3163.0, 3437.0, 449.0, 4569.0, 4908.0, 0.001, 0.01, 0.2
350.0, 9925.0, 3429.0, 3093.0, 3403.0, 468.0, 4542.0, 4915.0, 0.001, 0.01, 0.2
360.0, 9933.0, 3553.0, 3027.0, 3353.0, 491.0, 4541.0, 4901.0, 0.001, 0.01, 0.2
370.0, 9933.0, 3666.0, 2958.0, 3309.0, 510.0, 4526.0, 4897.0, 0.001, 0.01, 0.2
380.0, 9950.0, 3786.0, 2924.0, 3240.0, 520.0, 4551.0, 4879.0, 0.001, 0.01, 0.2
390.0, 9943.0, 3892.0, 2884.0, 3167.0, 531.0, 4539.0, 4873.0, 0.001, 0.01, 0.2
400.0, 9928.0, 3967.0, 2820.0, 3141.0, 550.0, 4511.0, 4867.0, 0.001, 0.01, 0.2
410.0, 9935.0, 4051.0, 2793.0, 3091.0, 564.0, 4514.0, 4857.0, 0.001, 0.01, 0.2
420.0, 9922.0, 4171.0, 2749.0, 3002.0, 574.0, 4521.0, 4827.0, 0.001, 0.01, 0.2
430.0, 9928.0, 4284.0, 2688.0, 2956.0, 596.0, 4498.0, 4834.0, 0.001, 0.01, 0.2
440.0, 9941.0, 4393.0, 2649.0, 2899.0, 618.0, 4501.0, 4822.0, 0.001, 0.01, 0.2
450.0, 9929.0, 4468.0, 2604.0, 2857.0, 628.0, 4478.0, 4823.0, 0.001, 0.01, 0.2
460.0, 9926.0, 4553.0, 2572.0, 2801.0, 661.0, 4473.0, 4792.0, 0.001, 0.01, 0.2
470.0, 9937.0, 4633.0, 2547.0, 2757.0, 699.0, 4479.0, 4759.0, 0.001, 0.01, 0.2
480.0, 9927.0, 4749.0, 2474.0, 2704.0, 740.0, 4458.0, 4729.0, 0.001, 0.01, 0.2
490.0, 9929.0, 4810.0, 2448.0, 2671.0, 739.0, 4454.0, 4736.0, 0.001, 0.01, 0.2
500.0, 9920.0, 4849.0, 2428.0, 2643.0, 774.0, 4429.0, 4717.0, 0.001, 0.01, 0.2
510.0, 9948.0, 4937.0, 2408.0, 2603.0, 805.0, 4438.0, 4705.0, 0.001, 0.01, 0.2
520.0, 9916.0, 5016.0, 2325.0, 2575.0, 841.0, 4382.0, 4693.0, 0.001, 0.01, 0.2
530.0, 9927.0, 5132.0, 2286.0, 2509.0, 871.0, 4393.0, 4663.0, 0.001, 0.01, 0.2
540.0, 9935.0, 5266.0, 2217.0, 2452.0, 913.0, 4365.0, 4657.0, 0.001, 0.01, 0.2
550.0, 9932.0, 5316.0, 2188.0, 2428.0, 926.0, 4350.0, 4656.0, 0.001, 0.01, 0.2
560.0, 9944.0, 5366.0, 2178.0, 2400.0, 940.0, 4335.0, 4669.0, 0.001, 0.01, 0.2
570.0, 9932.0, 5398.0, 2162.0, 2372.0, 940.0, 4332.0, 4660.0, 0.001, 0.01, 0.2
580.0, 9930.0, 5529.0, 2090.0, 2311.0, 967.0, 4313.0, 4650.0, 0.001, 0.01, 0.2
590.0, 9922.0, 5554.0, 2080.0, 2288.0, 979.0, 4315.0, 4628.0, 0.001, 0.01, 0.2
600.0, 9934.0, 5649.0, 2031.0, 2254.0, 998.0, 4319.0, 4617.0, 0.001, 0.01, 0.2
610.0, 9952.0, 5725.0, 1987.0, 2240.0, 1018.0, 4310.0, 4624.0, 0.001, 0.01, 0.2
620.0, 9924.0, 5824.0, 1936.0, 2164.0, 1035.0, 4293.0, 4596.0, 0.001, 0.01, 0.2
630.0, 9933.0, 5907.0, 1923.0, 2103.0, 1056.0, 4288.0, 4589.0, 0.001, 0.01, 0.2
640.0, 9935.0, 5986.0, 1871.0, 2078.0, 1078.0, 4263.0, 4594.0, 0.001, 0.01, 0.2
650.0, 9929.0, 6057.0, 1820.0, 2052.0, 1108.0, 4241.0, 4580.0, 0.001, 0.01, 0.2
660.0, 9944.0, 6139.0, 1782.0, 2023.0, 1106.0, 4256.0, 4582.0, 0.001, 0.01, 0.2
670.0, 9942.0, 6202.0, 1773.0, 1967.0, 1152.0, 4244.0, 4546.0, 0.001, 0.01, 0.2
680.0, 9932.0, 6257.0, 1720.0, 1955.0, 1146.0, 4228.0, 4558.0, 0.001, 0.01, 0.2
690.0, 9926.0, 6312.0, 1699.0, 1915.0, 1183.0, 4201.0, 4542.0, 0.001, 0.01, 0.2
700.0, 9928.0, 6384.0, 1657.0, 1887.0, 1181.0, 4191.0, 4556.0, 0.001, 0.01, 0.2
710.0, 9937.0, 6430.0, 1633.0, 1874.0, 1199.0, 4188.0, 4550.0, 0.001, 0.01, 0.2
720.0, 9936.0, 6511.0, 1586.0, 1839.0, 1207.0, 4189.0, 4540.0, 0.001, 0.01, 0.2
730.0, 9923.0, 6571.0, 1566.0, 1786.0, 1237.0, 4162.0, 4524.0, 0.001, 0.01, 0.2
740.0, 9941.0, 6663.0, 1524.0, 1754.0, 1274.0, 4157.0, 4510.0, 0.001, 0.01, 0.2
750.0, 9942.0, 6742.0, 1481.0, 1719.0, 1298.0, 4138.0, 4506.0, 0.001, 0.01, 0.2
760.0, 9928.0, 6786.0, 1462.0, 1680.0, 1302.0, 4155.0, 4471.0, 0.001, 0.01, 0.2
770.0, 9944.0, 6846.0, 1455.0, 1643.0, 1316.0, 4173.0, 4455.0, 0.001, 0.01, 0.2
780.0, 9935.0, 6897.0, 1435.0, 1603.0, 1353.0, 4155.0, 4427.0, 0.001, 0.01, 0.2
790.0, 9938.0, 6990.0, 1393.0, 1555.0, 1378.0, 4150.0, 4410.0, 0.001, 0.01, 0.2
800.0, 9924.0, 7019.0, 1371.0, 1534.0, 1372.0, 4146.0, 4406.0, 0.001, 0.01, 0.2
