TIdx,Pop,n_fused,n_parental,n_resistant,n_yellow,n_green,n_red, fuseProb, dieProb, birthProb

0.0, 234.0, 0.0, 118.0, 116.0, 0.0, 118.0, 116.0, 0.001, 0.01, 0.2
10.0, 1269.0, 9.0, 683.0, 577.0, 0.0, 692.0, 577.0, 0.001, 0.01, 0.2
20.0, 4699.0, 86.0, 2445.0, 2168.0, 2.0, 2507.0, 2190.0, 0.001, 0.01, 0.2
30.0, 8408.0, 261.0, 4461.0, 3686.0, 20.0, 4609.0, 3779.0, 0.001, 0.01, 0.2
40.0, 9738.0, 460.0, 5118.0, 4160.0, 39.0, 5344.0, 4355.0, 0.001, 0.01, 0.2
50.0, 9919.0, 568.0, 5156.0, 4195.0, 46.0, 5437.0, 4436.0, 0.001, 0.01, 0.2
60.0, 9931.0, 676.0, 5108.0, 4147.0, 70.0, 5441.0, 4420.0, 0.001, 0.01, 0.2
70.0, 9923.0, 797.0, 5052.0, 4074.0, 90.0, 5432.0, 4401.0, 0.001, 0.01, 0.2
80.0, 9937.0, 924.0, 5000.0, 4013.0, 105.0, 5448.0, 4384.0, 0.001, 0.01, 0.2
90.0, 9929.0, 1029.0, 4919.0, 3981.0, 129.0, 5418.0, 4382.0, 0.001, 0.01, 0.2
100.0, 9918.0, 1115.0, 4857.0, 3946.0, 136.0, 5406.0, 4376.0, 0.001, 0.01, 0.2
110.0, 9948.0, 1229.0, 4801.0, 3918.0, 147.0, 5415.0, 4386.0, 0.001, 0.01, 0.2
120.0, 9933.0, 1376.0, 4721.0, 3836.0, 161.0, 5411.0, 4361.0, 0.001, 0.01, 0.2
130.0, 9930.0, 1485.0, 4648.0, 3797.0, 178.0, 5390.0, 4362.0, 0.001, 0.01, 0.2
140.0, 9930.0, 1585.0, 4601.0, 3744.0, 194.0, 5388.0, 4348.0, 0.001, 0.01, 0.2
150.0, 9936.0, 1678.0, 4572.0, 3686.0, 205.0, 5390.0, 4341.0, 0.001, 0.01, 0.2
160.0, 9940.0, 1775.0, 4531.0, 3634.0, 221.0, 5394.0, 4325.0, 0.001, 0.01, 0.2
170.0, 9931.0, 1832.0, 4501.0, 3598.0, 233.0, 5387.0, 4311.0, 0.001, 0.01, 0.2
180.0, 9913.0, 1936.0, 4451.0, 3526.0, 254.0, 5379.0, 4280.0, 0.001, 0.01, 0.2
190.0, 9925.0, 2027.0, 4410.0, 3488.0, 260.0, 5379.0, 4286.0, 0.001, 0.01, 0.2
200.0, 9932.0, 2122.0, 4353.0, 3457.0, 286.0, 5369.0, 4277.0, 0.001, 0.01, 0.2
210.0, 9938.0, 2255.0, 4300.0, 3383.0, 309.0, 5362.0, 4267.0, 0.001, 0.01, 0.2
220.0, 9930.0, 2398.0, 4215.0, 3317.0, 340.0, 5348.0, 4242.0, 0.001, 0.01, 0.2
230.0, 9925.0, 2495.0, 4183.0, 3247.0, 372.0, 5341.0, 4212.0, 0.001, 0.01, 0.2
240.0, 9929.0, 2585.0, 4137.0, 3207.0, 400.0, 5325.0, 4204.0, 0.001, 0.01, 0.2
250.0, 9938.0, 2699.0, 4061.0, 3178.0, 423.0, 5301.0, 4214.0, 0.001, 0.01, 0.2
260.0, 9943.0, 2820.0, 4011.0, 3112.0, 445.0, 5301.0, 4197.0, 0.001, 0.01, 0.2
270.0, 9936.0, 2935.0, 3937.0, 3064.0, 470.0, 5292.0, 4174.0, 0.001, 0.01, 0.2
280.0, 9923.0, 3023.0, 3885.0, 3015.0, 492.0, 5270.0, 4161.0, 0.001, 0.01, 0.2
290.0, 9924.0, 3131.0, 3811.0, 2982.0, 524.0, 5243.0, 4157.0, 0.001, 0.01, 0.2
300.0, 9937.0, 3209.0, 3770.0, 2958.0, 546.0, 5248.0, 4143.0, 0.001, 0.01, 0.2
310.0, 9941.0, 3311.0, 3712.0, 2918.0, 571.0, 5237.0, 4133.0, 0.001, 0.01, 0.2
320.0, 9934.0, 3395.0, 3663.0, 2876.0, 579.0, 5233.0, 4122.0, 0.001, 0.01, 0.2
330.0, 9935.0, 3505.0, 3614.0, 2816.0, 611.0, 5226.0, 4098.0, 0.001, 0.01, 0.2
340.0, 9938.0, 3570.0, 3580.0, 2788.0, 626.0, 5216.0, 4096.0, 0.001, 0.01, 0.2
350.0, 9929.0, 3693.0, 3508.0, 2728.0, 661.0, 5206.0, 4062.0, 0.001, 0.01, 0.2
360.0, 9947.0, 3809.0, 3453.0, 2685.0, 677.0, 5202.0, 4068.0, 0.001, 0.01, 0.2
370.0, 9937.0, 3908.0, 3386.0, 2643.0, 694.0, 5180.0, 4063.0, 0.001, 0.01, 0.2
380.0, 9940.0, 3983.0, 3361.0, 2596.0, 722.0, 5184.0, 4034.0, 0.001, 0.01, 0.2
390.0, 9948.0, 4095.0, 3299.0, 2554.0, 745.0, 5170.0, 4033.0, 0.001, 0.01, 0.2
400.0, 9945.0, 4164.0, 3253.0, 2528.0, 743.0, 5162.0, 4040.0, 0.001, 0.01, 0.2
410.0, 9931.0, 4262.0, 3195.0, 2474.0, 760.0, 5147.0, 4024.0, 0.001, 0.01, 0.2
420.0, 9935.0, 4351.0, 3148.0, 2436.0, 797.0, 5131.0, 4007.0, 0.001, 0.01, 0.2
430.0, 9930.0, 4487.0, 3070.0, 2373.0, 841.0, 5101.0, 3988.0, 0.001, 0.01, 0.2
440.0, 9924.0, 4586.0, 2995.0, 2343.0, 852.0, 5098.0, 3974.0, 0.001, 0.01, 0.2
450.0, 9916.0, 4663.0, 2927.0, 2326.0, 872.0, 5078.0, 3966.0, 0.001, 0.01, 0.2
460.0, 9917.0, 4747.0, 2882.0, 2288.0, 883.0, 5088.0, 3946.0, 0.001, 0.01, 0.2
470.0, 9917.0, 4825.0, 2838.0, 2254.0, 901.0, 5064.0, 3952.0, 0.001, 0.01, 0.2
480.0, 9924.0, 4929.0, 2777.0, 2218.0, 933.0, 5043.0, 3948.0, 0.001, 0.01, 0.2
490.0, 9913.0, 5023.0, 2712.0, 2178.0, 957.0, 5023.0, 3933.0, 0.001, 0.01, 0.2
500.0, 9940.0, 5107.0, 2686.0, 2147.0, 970.0, 5023.0, 3947.0, 0.001, 0.01, 0.2
510.0, 9941.0, 5177.0, 2666.0, 2098.0, 1019.0, 5021.0, 3901.0, 0.001, 0.01, 0.2
520.0, 9929.0, 5237.0, 2622.0, 2070.0, 1052.0, 4999.0, 3878.0, 0.001, 0.01, 0.2
530.0, 9933.0, 5305.0, 2572.0, 2056.0, 1077.0, 4991.0, 3865.0, 0.001, 0.01, 0.2
540.0, 9934.0, 5409.0, 2527.0, 1998.0, 1086.0, 4993.0, 3855.0, 0.001, 0.01, 0.2
550.0, 9919.0, 5466.0, 2488.0, 1965.0, 1107.0, 4969.0, 3843.0, 0.001, 0.01, 0.2
560.0, 9928.0, 5569.0, 2428.0, 1931.0, 1144.0, 4950.0, 3834.0, 0.001, 0.01, 0.2
570.0, 9946.0, 5633.0, 2403.0, 1910.0, 1151.0, 4956.0, 3839.0, 0.001, 0.01, 0.2
580.0, 9936.0, 5674.0, 2360.0, 1902.0, 1145.0, 4957.0, 3834.0, 0.001, 0.01, 0.2
590.0, 9924.0, 5737.0, 2308.0, 1879.0, 1150.0, 4923.0, 3851.0, 0.001, 0.01, 0.2
600.0, 9926.0, 5808.0, 2270.0, 1848.0, 1175.0, 4925.0, 3826.0, 0.001, 0.01, 0.2
610.0, 9945.0, 5884.0, 2242.0, 1819.0, 1200.0, 4918.0, 3827.0, 0.001, 0.01, 0.2
