TIdx,Pop,n_fused,n_parental,n_resistant,n_yellow,n_green,n_red, fuseProb, dieProb, birthProb

0.0, 239.0, 0.0, 117.0, 122.0, 0.0, 117.0, 122.0, 0.001, 0.01, 0.2
10.0, 1335.0, 4.0, 664.0, 667.0, 0.0, 666.0, 669.0, 0.001, 0.01, 0.2
20.0, 4915.0, 82.0, 2408.0, 2425.0, 3.0, 2454.0, 2458.0, 0.001, 0.01, 0.2
30.0, 8595.0, 229.0, 4021.0, 4345.0, 17.0, 4162.0, 4416.0, 0.001, 0.01, 0.2
40.0, 9789.0, 339.0, 4530.0, 4920.0, 26.0, 4733.0, 5030.0, 0.001, 0.01, 0.2
50.0, 9932.0, 453.0, 4523.0, 4956.0, 45.0, 4767.0, 5120.0, 0.001, 0.01, 0.2
60.0, 9943.0, 548.0, 4467.0, 4928.0, 62.0, 4753.0, 5128.0, 0.001, 0.01, 0.2
70.0, 9942.0, 646.0, 4425.0, 4871.0, 72.0, 4755.0, 5115.0, 0.001, 0.01, 0.2
80.0, 9933.0, 721.0, 4377.0, 4835.0, 83.0, 4741.0, 5109.0, 0.001, 0.01, 0.2
90.0, 9913.0, 843.0, 4340.0, 4730.0, 98.0, 4756.0, 5059.0, 0.001, 0.01, 0.2
100.0, 9931.0, 933.0, 4316.0, 4682.0, 116.0, 4774.0, 5041.0, 0.001, 0.01, 0.2
110.0, 9959.0, 1060.0, 4263.0, 4636.0, 137.0, 4772.0, 5050.0, 0.001, 0.01, 0.2
120.0, 9922.0, 1180.0, 4176.0, 4566.0, 158.0, 4733.0, 5031.0, 0.001, 0.01, 0.2
130.0, 9925.0, 1290.0, 4119.0, 4516.0, 174.0, 4721.0, 5030.0, 0.001, 0.01, 0.2
140.0, 9922.0, 1403.0, 4066.0, 4453.0, 203.0, 4707.0, 5012.0, 0.001, 0.01, 0.2
150.0, 9915.0, 1496.0, 4025.0, 4394.0, 218.0, 4708.0, 4989.0, 0.001, 0.01, 0.2
160.0, 9938.0, 1609.0, 3983.0, 4346.0, 233.0, 4715.0, 4990.0, 0.001, 0.01, 0.2
170.0, 9938.0, 1728.0, 3930.0, 4280.0, 266.0, 4702.0, 4970.0, 0.001, 0.01, 0.2
180.0, 9929.0, 1822.0, 3903.0, 4204.0, 276.0, 4713.0, 4940.0, 0.001, 0.01, 0.2
190.0, 9919.0, 1934.0, 3834.0, 4151.0, 290.0, 4684.0, 4945.0, 0.001, 0.01, 0.2
200.0, 9935.0, 2050.0, 3800.0, 4085.0, 305.0, 4682.0, 4948.0, 0.001, 0.01, 0.2
210.0, 9936.0, 2151.0, 3738.0, 4047.0, 317.0, 4669.0, 4950.0, 0.001, 0.01, 0.2
220.0, 9936.0, 2249.0, 3689.0, 3998.0, 335.0, 4656.0, 4945.0, 0.001, 0.01, 0.2
230.0, 9935.0, 2330.0, 3616.0, 3989.0, 358.0, 4625.0, 4952.0, 0.001, 0.01, 0.2
240.0, 9930.0, 2441.0, 3563.0, 3926.0, 392.0, 4597.0, 4941.0, 0.001, 0.01, 0.2
250.0, 9953.0, 2523.0, 3527.0, 3903.0, 413.0, 4587.0, 4953.0, 0.001, 0.01, 0.2
260.0, 9924.0, 2626.0, 3453.0, 3845.0, 424.0, 4554.0, 4946.0, 0.001, 0.01, 0.2
270.0, 9926.0, 2757.0, 3377.0, 3792.0, 436.0, 4555.0, 4935.0, 0.001, 0.01, 0.2
280.0, 9931.0, 2849.0, 3338.0, 3744.0, 463.0, 4535.0, 4933.0, 0.001, 0.01, 0.2
290.0, 9930.0, 2965.0, 3270.0, 3695.0, 483.0, 4509.0, 4938.0, 0.001, 0.01, 0.2
300.0, 9932.0, 3024.0, 3222.0, 3686.0, 492.0, 4478.0, 4962.0, 0.001, 0.01, 0.2
310.0, 9921.0, 3118.0, 3201.0, 3602.0, 508.0, 4481.0, 4932.0, 0.001, 0.01, 0.2
320.0, 9925.0, 3216.0, 3142.0, 3567.0, 540.0, 4463.0, 4922.0, 0.001, 0.01, 0.2
330.0, 9935.0, 3307.0, 3093.0, 3535.0, 530.0, 4498.0, 4907.0, 0.001, 0.01, 0.2
340.0, 9926.0, 3379.0, 3075.0, 3472.0, 551.0, 4485.0, 4890.0, 0.001, 0.01, 0.2
350.0, 9937.0, 3462.0, 3032.0, 3443.0, 571.0, 4474.0, 4892.0, 0.001, 0.01, 0.2
360.0, 9925.0, 3573.0, 2960.0, 3392.0, 599.0, 4429.0, 4897.0, 0.001, 0.01, 0.2
370.0, 9945.0, 3678.0, 2921.0, 3346.0, 633.0, 4436.0, 4876.0, 0.001, 0.01, 0.2
380.0, 9936.0, 3796.0, 2884.0, 3256.0, 655.0, 4421.0, 4860.0, 0.001, 0.01, 0.2
390.0, 9939.0, 3871.0, 2868.0, 3200.0, 682.0, 4439.0, 4818.0, 0.001, 0.01, 0.2
400.0, 9935.0, 3937.0, 2823.0, 3175.0, 696.0, 4440.0, 4799.0, 0.001, 0.01, 0.2
410.0, 9939.0, 4028.0, 2803.0, 3108.0, 711.0, 4455.0, 4773.0, 0.001, 0.01, 0.2
420.0, 9935.0, 4143.0, 2718.0, 3074.0, 742.0, 4412.0, 4781.0, 0.001, 0.01, 0.2
430.0, 9911.0, 4230.0, 2676.0, 3005.0, 761.0, 4376.0, 4774.0, 0.001, 0.01, 0.2
440.0, 9932.0, 4323.0, 2678.0, 2931.0, 770.0, 4399.0, 4763.0, 0.001, 0.01, 0.2
450.0, 9935.0, 4425.0, 2633.0, 2877.0, 799.0, 4378.0, 4758.0, 0.001, 0.01, 0.2
460.0, 9930.0, 4533.0, 2580.0, 2817.0, 811.0, 4383.0, 4736.0, 0.001, 0.01, 0.2
470.0, 9929.0, 4653.0, 2513.0, 2763.0, 836.0, 4370.0, 4723.0, 0.001, 0.01, 0.2
480.0, 9943.0, 4741.0, 2442.0, 2760.0, 845.0, 4347.0, 4751.0, 0.001, 0.01, 0.2
490.0, 9936.0, 4874.0, 2359.0, 2703.0, 853.0, 4325.0, 4758.0, 0.001, 0.01, 0.2
500.0, 9940.0, 4970.0, 2330.0, 2640.0, 878.0, 4349.0, 4713.0, 0.001, 0.01, 0.2
510.0, 9942.0, 5043.0, 2277.0, 2622.0, 919.0, 4323.0, 4700.0, 0.001, 0.01, 0.2
520.0, 9930.0, 5128.0, 2222.0, 2580.0, 942.0, 4309.0, 4679.0, 0.001, 0.01, 0.2
530.0, 9929.0, 5193.0, 2199.0, 2537.0, 955.0, 4294.0, 4680.0, 0.001, 0.01, 0.2
540.0, 9921.0, 5242.0, 2176.0, 2503.0, 966.0, 4284.0, 4671.0, 0.001, 0.01, 0.2
