TIdx,Pop,n_fused,n_parental,n_resistant,n_yellow,n_green,n_red, fuseProb, dieProb, birthProb

0.0, 236.0, 0.0, 120.0, 116.0, 0.0, 120.0, 116.0, 0.001, 0.01, 0.2
10.0, 1342.0, 6.0, 663.0, 673.0, 0.0, 668.0, 674.0, 0.001, 0.01, 0.2
20.0, 4930.0, 45.0, 2426.0, 2459.0, 2.0, 2453.0, 2475.0, 0.001, 0.01, 0.2
30.0, 8241.0, 174.0, 3919.0, 4148.0, 12.0, 4006.0, 4223.0, 0.001, 0.01, 0.2
40.0, 9592.0, 320.0, 4478.0, 4794.0, 18.0, 4641.0, 4933.0, 0.001, 0.01, 0.2
50.0, 9920.0, 432.0, 4539.0, 4949.0, 34.0, 4744.0, 5142.0, 0.001, 0.01, 0.2
60.0, 9926.0, 546.0, 4509.0, 4871.0, 51.0, 4766.0, 5109.0, 0.001, 0.01, 0.2
70.0, 9918.0, 650.0, 4462.0, 4806.0, 73.0, 4751.0, 5094.0, 0.001, 0.01, 0.2
80.0, 9933.0, 766.0, 4431.0, 4736.0, 80.0, 4772.0, 5081.0, 0.001, 0.01, 0.2
90.0, 9934.0, 860.0, 4345.0, 4729.0, 93.0, 4733.0, 5108.0, 0.001, 0.01, 0.2
100.0, 9931.0, 975.0, 4279.0, 4677.0, 125.0, 4720.0, 5086.0, 0.001, 0.01, 0.2
110.0, 9933.0, 1083.0, 4240.0, 4610.0, 139.0, 4732.0, 5062.0, 0.001, 0.01, 0.2
120.0, 9923.0, 1164.0, 4191.0, 4568.0, 149.0, 4705.0, 5069.0, 0.001, 0.01, 0.2
130.0, 9928.0, 1264.0, 4148.0, 4516.0, 159.0, 4715.0, 5054.0, 0.001, 0.01, 0.2
140.0, 9932.0, 1393.0, 4082.0, 4457.0, 176.0, 4711.0, 5045.0, 0.001, 0.01, 0.2
150.0, 9932.0, 1485.0, 4035.0, 4412.0, 190.0, 4697.0, 5045.0, 0.001, 0.01, 0.2
160.0, 9935.0, 1591.0, 3972.0, 4372.0, 210.0, 4678.0, 5047.0, 0.001, 0.01, 0.2
170.0, 9942.0, 1697.0, 3921.0, 4324.0, 226.0, 4667.0, 5049.0, 0.001, 0.01, 0.2
180.0, 9934.0, 1799.0, 3857.0, 4278.0, 247.0, 4644.0, 5043.0, 0.001, 0.01, 0.2
190.0, 9934.0, 1902.0, 3801.0, 4231.0, 259.0, 4629.0, 5046.0, 0.001, 0.01, 0.2
200.0, 9933.0, 2010.0, 3747.0, 4176.0, 285.0, 4619.0, 5029.0, 0.001, 0.01, 0.2
210.0, 9928.0, 2095.0, 3697.0, 4136.0, 292.0, 4603.0, 5033.0, 0.001, 0.01, 0.2
220.0, 9922.0, 2200.0, 3646.0, 4076.0, 306.0, 4605.0, 5011.0, 0.001, 0.01, 0.2
230.0, 9953.0, 2308.0, 3615.0, 4030.0, 319.0, 4613.0, 5021.0, 0.001, 0.01, 0.2
240.0, 9943.0, 2444.0, 3559.0, 3940.0, 339.0, 4604.0, 5000.0, 0.001, 0.01, 0.2
250.0, 9936.0, 2529.0, 3530.0, 3877.0, 355.0, 4607.0, 4974.0, 0.001, 0.01, 0.2
260.0, 9926.0, 2622.0, 3468.0, 3836.0, 382.0, 4575.0, 4969.0, 0.001, 0.01, 0.2
270.0, 9933.0, 2728.0, 3424.0, 3781.0, 417.0, 4578.0, 4938.0, 0.001, 0.01, 0.2
