TIdx,Pop,n_fused,n_parental,n_resistant,n_yellow,n_green,n_red, fuseProb, dieProb, birthProb

0.0, 244.0, 0.0, 120.0, 124.0, 0.0, 120.0, 124.0, 0.001, 0.01, 0.2
10.0, 1267.0, 16.0, 590.0, 661.0, 2.0, 596.0, 669.0, 0.001, 0.01, 0.2
20.0, 4710.0, 133.0, 2212.0, 2365.0, 16.0, 2269.0, 2425.0, 0.001, 0.01, 0.2
30.0, 8387.0, 316.0, 3916.0, 4155.0, 37.0, 4064.0, 4286.0, 0.001, 0.01, 0.2
40.0, 9770.0, 461.0, 4505.0, 4804.0, 60.0, 4711.0, 4999.0, 0.001, 0.01, 0.2
50.0, 9931.0, 556.0, 4497.0, 4878.0, 75.0, 4750.0, 5106.0, 0.001, 0.01, 0.2
60.0, 9927.0, 674.0, 4450.0, 4803.0, 83.0, 4761.0, 5083.0, 0.001, 0.01, 0.2
70.0, 9929.0, 773.0, 4386.0, 4770.0, 100.0, 4735.0, 5094.0, 0.001, 0.01, 0.2
80.0, 9933.0, 880.0, 4325.0, 4728.0, 104.0, 4731.0, 5098.0, 0.001, 0.01, 0.2
90.0, 9937.0, 969.0, 4295.0, 4673.0, 122.0, 4735.0, 5080.0, 0.001, 0.01, 0.2
100.0, 9928.0, 1076.0, 4226.0, 4626.0, 129.0, 4722.0, 5077.0, 0.001, 0.01, 0.2
110.0, 9933.0, 1176.0, 4199.0, 4558.0, 150.0, 4725.0, 5058.0, 0.001, 0.01, 0.2
120.0, 9946.0, 1262.0, 4165.0, 4519.0, 175.0, 4709.0, 5062.0, 0.001, 0.01, 0.2
130.0, 9938.0, 1328.0, 4133.0, 4477.0, 186.0, 4706.0, 5046.0, 0.001, 0.01, 0.2
140.0, 9913.0, 1434.0, 4065.0, 4414.0, 203.0, 4681.0, 5029.0, 0.001, 0.01, 0.2
150.0, 9929.0, 1548.0, 4012.0, 4369.0, 226.0, 4680.0, 5023.0, 0.001, 0.01, 0.2
160.0, 9919.0, 1634.0, 3923.0, 4362.0, 244.0, 4630.0, 5045.0, 0.001, 0.01, 0.2
170.0, 9939.0, 1747.0, 3888.0, 4304.0, 251.0, 4642.0, 5046.0, 0.001, 0.01, 0.2
180.0, 9918.0, 1808.0, 3846.0, 4264.0, 262.0, 4631.0, 5025.0, 0.001, 0.01, 0.2
190.0, 9932.0, 1895.0, 3824.0, 4213.0, 281.0, 4640.0, 5011.0, 0.001, 0.01, 0.2
200.0, 9925.0, 1983.0, 3767.0, 4175.0, 304.0, 4610.0, 5011.0, 0.001, 0.01, 0.2
210.0, 9933.0, 2095.0, 3720.0, 4118.0, 315.0, 4620.0, 4998.0, 0.001, 0.01, 0.2
220.0, 9949.0, 2192.0, 3670.0, 4087.0, 338.0, 4618.0, 4993.0, 0.001, 0.01, 0.2
230.0, 9923.0, 2300.0, 3626.0, 3997.0, 360.0, 4625.0, 4938.0, 0.001, 0.01, 0.2
240.0, 9933.0, 2396.0, 3553.0, 3984.0, 388.0, 4596.0, 4949.0, 0.001, 0.01, 0.2
250.0, 9927.0, 2468.0, 3525.0, 3934.0, 405.0, 4604.0, 4918.0, 0.001, 0.01, 0.2
260.0, 9920.0, 2558.0, 3458.0, 3904.0, 424.0, 4584.0, 4912.0, 0.001, 0.01, 0.2
270.0, 9935.0, 2669.0, 3410.0, 3856.0, 440.0, 4572.0, 4923.0, 0.001, 0.01, 0.2
280.0, 9946.0, 2775.0, 3361.0, 3810.0, 450.0, 4563.0, 4933.0, 0.001, 0.01, 0.2
290.0, 9929.0, 2886.0, 3314.0, 3729.0, 484.0, 4537.0, 4908.0, 0.001, 0.01, 0.2
300.0, 9921.0, 2954.0, 3279.0, 3688.0, 494.0, 4541.0, 4886.0, 0.001, 0.01, 0.2
310.0, 9930.0, 3052.0, 3233.0, 3645.0, 514.0, 4528.0, 4888.0, 0.001, 0.01, 0.2
320.0, 9936.0, 3166.0, 3183.0, 3587.0, 532.0, 4519.0, 4885.0, 0.001, 0.01, 0.2
330.0, 9935.0, 3249.0, 3136.0, 3550.0, 555.0, 4496.0, 4884.0, 0.001, 0.01, 0.2
340.0, 9936.0, 3353.0, 3061.0, 3522.0, 590.0, 4454.0, 4892.0, 0.001, 0.01, 0.2
350.0, 9936.0, 3418.0, 3044.0, 3474.0, 632.0, 4436.0, 4868.0, 0.001, 0.01, 0.2
360.0, 9937.0, 3549.0, 2991.0, 3397.0, 663.0, 4439.0, 4835.0, 0.001, 0.01, 0.2
370.0, 9954.0, 3631.0, 2949.0, 3374.0, 673.0, 4429.0, 4852.0, 0.001, 0.01, 0.2
380.0, 9942.0, 3738.0, 2912.0, 3292.0, 703.0, 4428.0, 4811.0, 0.001, 0.01, 0.2
390.0, 9938.0, 3870.0, 2843.0, 3225.0, 735.0, 4391.0, 4812.0, 0.001, 0.01, 0.2
400.0, 9929.0, 3984.0, 2810.0, 3135.0, 770.0, 4381.0, 4778.0, 0.001, 0.01, 0.2
410.0, 9942.0, 4120.0, 2779.0, 3043.0, 811.0, 4378.0, 4753.0, 0.001, 0.01, 0.2
420.0, 9917.0, 4180.0, 2737.0, 3000.0, 811.0, 4377.0, 4729.0, 0.001, 0.01, 0.2
430.0, 9941.0, 4266.0, 2696.0, 2979.0, 835.0, 4370.0, 4736.0, 0.001, 0.01, 0.2
440.0, 9926.0, 4331.0, 2662.0, 2933.0, 855.0, 4366.0, 4705.0, 0.001, 0.01, 0.2
450.0, 9932.0, 4407.0, 2655.0, 2870.0, 873.0, 4393.0, 4666.0, 0.001, 0.01, 0.2
460.0, 9942.0, 4507.0, 2608.0, 2827.0, 894.0, 4388.0, 4660.0, 0.001, 0.01, 0.2
470.0, 9930.0, 4595.0, 2573.0, 2762.0, 896.0, 4385.0, 4649.0, 0.001, 0.01, 0.2
480.0, 9921.0, 4673.0, 2520.0, 2728.0, 912.0, 4361.0, 4648.0, 0.001, 0.01, 0.2
490.0, 9930.0, 4787.0, 2489.0, 2654.0, 931.0, 4354.0, 4645.0, 0.001, 0.01, 0.2
