TIdx,Pop,n_fused,n_parental,n_resistant,n_yellow,n_green,n_red, fuseProb, dieProb, birthProb

0.0, 235.0, 0.0, 117.0, 118.0, 0.0, 117.0, 118.0, 0.001, 0.01, 0.2
10.0, 1345.0, 11.0, 683.0, 651.0, 4.0, 689.0, 652.0, 0.001, 0.01, 0.2
20.0, 4850.0, 102.0, 2417.0, 2331.0, 19.0, 2477.0, 2354.0, 0.001, 0.01, 0.2
30.0, 8471.0, 302.0, 4275.0, 3894.0, 50.0, 4428.0, 3993.0, 0.001, 0.01, 0.2
40.0, 9739.0, 435.0, 4955.0, 4349.0, 62.0, 5181.0, 4496.0, 0.001, 0.01, 0.2
50.0, 9924.0, 551.0, 5010.0, 4363.0, 73.0, 5288.0, 4563.0, 0.001, 0.01, 0.2
60.0, 9935.0, 662.0, 4962.0, 4311.0, 94.0, 5282.0, 4559.0, 0.001, 0.01, 0.2
70.0, 9936.0, 734.0, 4919.0, 4283.0, 98.0, 5262.0, 4576.0, 0.001, 0.01, 0.2
80.0, 9928.0, 782.0, 4872.0, 4274.0, 104.0, 5254.0, 4570.0, 0.001, 0.01, 0.2
90.0, 9937.0, 892.0, 4857.0, 4188.0, 128.0, 5289.0, 4520.0, 0.001, 0.01, 0.2
100.0, 9937.0, 993.0, 4791.0, 4153.0, 135.0, 5280.0, 4522.0, 0.001, 0.01, 0.2
110.0, 9937.0, 1087.0, 4759.0, 4091.0, 163.0, 5286.0, 4488.0, 0.001, 0.01, 0.2
120.0, 9923.0, 1212.0, 4698.0, 4013.0, 183.0, 5276.0, 4464.0, 0.001, 0.01, 0.2
130.0, 9925.0, 1292.0, 4678.0, 3955.0, 194.0, 5299.0, 4432.0, 0.001, 0.01, 0.2
140.0, 9937.0, 1415.0, 4595.0, 3927.0, 199.0, 5278.0, 4460.0, 0.001, 0.01, 0.2
150.0, 9941.0, 1525.0, 4559.0, 3857.0, 220.0, 5289.0, 4432.0, 0.001, 0.01, 0.2
160.0, 9946.0, 1622.0, 4488.0, 3836.0, 231.0, 5282.0, 4433.0, 0.001, 0.01, 0.2
170.0, 9936.0, 1703.0, 4452.0, 3781.0, 240.0, 5286.0, 4410.0, 0.001, 0.01, 0.2
180.0, 9941.0, 1782.0, 4410.0, 3749.0, 257.0, 5276.0, 4408.0, 0.001, 0.01, 0.2
190.0, 9919.0, 1880.0, 4353.0, 3686.0, 265.0, 5276.0, 4378.0, 0.001, 0.01, 0.2
200.0, 9912.0, 1953.0, 4309.0, 3650.0, 279.0, 5264.0, 4369.0, 0.001, 0.01, 0.2
210.0, 9917.0, 2047.0, 4289.0, 3581.0, 302.0, 5282.0, 4333.0, 0.001, 0.01, 0.2
220.0, 9933.0, 2146.0, 4259.0, 3528.0, 314.0, 5294.0, 4325.0, 0.001, 0.01, 0.2
230.0, 9928.0, 2235.0, 4205.0, 3488.0, 337.0, 5260.0, 4331.0, 0.001, 0.01, 0.2
240.0, 9939.0, 2364.0, 4143.0, 3432.0, 355.0, 5251.0, 4333.0, 0.001, 0.01, 0.2
250.0, 9928.0, 2441.0, 4082.0, 3405.0, 359.0, 5238.0, 4331.0, 0.001, 0.01, 0.2
260.0, 9937.0, 2528.0, 4034.0, 3375.0, 388.0, 5227.0, 4322.0, 0.001, 0.01, 0.2
270.0, 9928.0, 2645.0, 3973.0, 3310.0, 402.0, 5230.0, 4296.0, 0.001, 0.01, 0.2
280.0, 9944.0, 2769.0, 3895.0, 3280.0, 424.0, 5222.0, 4298.0, 0.001, 0.01, 0.2
290.0, 9941.0, 2818.0, 3854.0, 3269.0, 439.0, 5198.0, 4304.0, 0.001, 0.01, 0.2
300.0, 9936.0, 2934.0, 3794.0, 3208.0, 466.0, 5189.0, 4281.0, 0.001, 0.01, 0.2
310.0, 9929.0, 2983.0, 3779.0, 3167.0, 471.0, 5212.0, 4246.0, 0.001, 0.01, 0.2
320.0, 9927.0, 3105.0, 3719.0, 3103.0, 482.0, 5219.0, 4226.0, 0.001, 0.01, 0.2
330.0, 9933.0, 3256.0, 3646.0, 3031.0, 513.0, 5195.0, 4225.0, 0.001, 0.01, 0.2
340.0, 9946.0, 3349.0, 3618.0, 2979.0, 524.0, 5197.0, 4225.0, 0.001, 0.01, 0.2
350.0, 9924.0, 3457.0, 3563.0, 2904.0, 554.0, 5174.0, 4196.0, 0.001, 0.01, 0.2
360.0, 9944.0, 3539.0, 3533.0, 2872.0, 582.0, 5172.0, 4190.0, 0.001, 0.01, 0.2
370.0, 9925.0, 3619.0, 3483.0, 2823.0, 607.0, 5141.0, 4177.0, 0.001, 0.01, 0.2
380.0, 9923.0, 3684.0, 3409.0, 2830.0, 619.0, 5122.0, 4182.0, 0.001, 0.01, 0.2
390.0, 9914.0, 3740.0, 3372.0, 2802.0, 650.0, 5106.0, 4158.0, 0.001, 0.01, 0.2
400.0, 9924.0, 3838.0, 3337.0, 2749.0, 665.0, 5118.0, 4141.0, 0.001, 0.01, 0.2
410.0, 9946.0, 3948.0, 3296.0, 2702.0, 689.0, 5112.0, 4145.0, 0.001, 0.01, 0.2
420.0, 9923.0, 4092.0, 3197.0, 2634.0, 707.0, 5063.0, 4153.0, 0.001, 0.01, 0.2
430.0, 9945.0, 4205.0, 3134.0, 2606.0, 710.0, 5057.0, 4178.0, 0.001, 0.01, 0.2
440.0, 9914.0, 4297.0, 3054.0, 2563.0, 729.0, 5044.0, 4141.0, 0.001, 0.01, 0.2
450.0, 9926.0, 4382.0, 3020.0, 2524.0, 771.0, 5019.0, 4136.0, 0.001, 0.01, 0.2
460.0, 9933.0, 4488.0, 2977.0, 2468.0, 803.0, 5003.0, 4127.0, 0.001, 0.01, 0.2
470.0, 9925.0, 4544.0, 2940.0, 2441.0, 824.0, 4994.0, 4107.0, 0.001, 0.01, 0.2
480.0, 9932.0, 4619.0, 2882.0, 2431.0, 827.0, 4971.0, 4134.0, 0.001, 0.01, 0.2
490.0, 9937.0, 4705.0, 2827.0, 2405.0, 852.0, 4935.0, 4150.0, 0.001, 0.01, 0.2
500.0, 9940.0, 4750.0, 2835.0, 2355.0, 860.0, 4931.0, 4149.0, 0.001, 0.01, 0.2
