TIdx,Pop,n_fused,n_parental,n_resistant,n_yellow,n_green,n_red, fuseProb, dieProb, birthProb

0.0, 237.0, 0.0, 113.0, 124.0, 0.0, 113.0, 124.0, 0.001, 0.01, 0.2
10.0, 1268.0, 15.0, 596.0, 657.0, 1.0, 607.0, 660.0, 0.001, 0.01, 0.2
20.0, 4832.0, 99.0, 2130.0, 2603.0, 6.0, 2191.0, 2635.0, 0.001, 0.01, 0.2
30.0, 8438.0, 262.0, 3474.0, 4702.0, 27.0, 3639.0, 4772.0, 0.001, 0.01, 0.2
40.0, 9821.0, 393.0, 3954.0, 5474.0, 34.0, 4194.0, 5593.0, 0.001, 0.01, 0.2
50.0, 9931.0, 480.0, 3965.0, 5486.0, 45.0, 4237.0, 5649.0, 0.001, 0.01, 0.2
60.0, 9939.0, 563.0, 3933.0, 5443.0, 56.0, 4230.0, 5653.0, 0.001, 0.01, 0.2
70.0, 9939.0, 670.0, 3902.0, 5367.0, 67.0, 4234.0, 5638.0, 0.001, 0.01, 0.2
80.0, 9932.0, 782.0, 3849.0, 5301.0, 89.0, 4210.0, 5633.0, 0.001, 0.01, 0.2
90.0, 9949.0, 888.0, 3838.0, 5223.0, 104.0, 4237.0, 5608.0, 0.001, 0.01, 0.2
100.0, 9937.0, 990.0, 3773.0, 5174.0, 126.0, 4212.0, 5599.0, 0.001, 0.01, 0.2
110.0, 9940.0, 1092.0, 3731.0, 5117.0, 138.0, 4212.0, 5590.0, 0.001, 0.01, 0.2
120.0, 9926.0, 1176.0, 3701.0, 5049.0, 143.0, 4216.0, 5567.0, 0.001, 0.01, 0.2
130.0, 9935.0, 1269.0, 3674.0, 4992.0, 151.0, 4219.0, 5565.0, 0.001, 0.01, 0.2
140.0, 9933.0, 1376.0, 3638.0, 4919.0, 162.0, 4212.0, 5559.0, 0.001, 0.01, 0.2
150.0, 9916.0, 1457.0, 3614.0, 4845.0, 170.0, 4209.0, 5537.0, 0.001, 0.01, 0.2
160.0, 9937.0, 1595.0, 3578.0, 4764.0, 191.0, 4229.0, 5517.0, 0.001, 0.01, 0.2
170.0, 9929.0, 1647.0, 3554.0, 4728.0, 197.0, 4234.0, 5498.0, 0.001, 0.01, 0.2
180.0, 9946.0, 1713.0, 3524.0, 4709.0, 205.0, 4230.0, 5511.0, 0.001, 0.01, 0.2
190.0, 9929.0, 1812.0, 3490.0, 4627.0, 233.0, 4225.0, 5471.0, 0.001, 0.01, 0.2
200.0, 9933.0, 1912.0, 3460.0, 4561.0, 260.0, 4222.0, 5451.0, 0.001, 0.01, 0.2
210.0, 9932.0, 1975.0, 3450.0, 4507.0, 274.0, 4221.0, 5437.0, 0.001, 0.01, 0.2
220.0, 9931.0, 2061.0, 3409.0, 4461.0, 281.0, 4203.0, 5447.0, 0.001, 0.01, 0.2
230.0, 9928.0, 2177.0, 3350.0, 4401.0, 295.0, 4194.0, 5439.0, 0.001, 0.01, 0.2
240.0, 9934.0, 2298.0, 3293.0, 4343.0, 307.0, 4183.0, 5444.0, 0.001, 0.01, 0.2
250.0, 9919.0, 2374.0, 3241.0, 4304.0, 316.0, 4168.0, 5435.0, 0.001, 0.01, 0.2
260.0, 9928.0, 2511.0, 3186.0, 4231.0, 324.0, 4171.0, 5433.0, 0.001, 0.01, 0.2
270.0, 9948.0, 2596.0, 3147.0, 4205.0, 340.0, 4183.0, 5425.0, 0.001, 0.01, 0.2
280.0, 9930.0, 2676.0, 3108.0, 4146.0, 356.0, 4146.0, 5428.0, 0.001, 0.01, 0.2
290.0, 9932.0, 2783.0, 3043.0, 4106.0, 374.0, 4121.0, 5437.0, 0.001, 0.01, 0.2
300.0, 9933.0, 2862.0, 3022.0, 4049.0, 384.0, 4128.0, 5421.0, 0.001, 0.01, 0.2
310.0, 9929.0, 2976.0, 2964.0, 3989.0, 395.0, 4113.0, 5421.0, 0.001, 0.01, 0.2
320.0, 9925.0, 3057.0, 2923.0, 3945.0, 413.0, 4105.0, 5407.0, 0.001, 0.01, 0.2
330.0, 9941.0, 3160.0, 2876.0, 3905.0, 425.0, 4105.0, 5411.0, 0.001, 0.01, 0.2
340.0, 9926.0, 3253.0, 2827.0, 3846.0, 447.0, 4085.0, 5394.0, 0.001, 0.01, 0.2
350.0, 9948.0, 3360.0, 2799.0, 3789.0, 462.0, 4092.0, 5394.0, 0.001, 0.01, 0.2
360.0, 9936.0, 3416.0, 2777.0, 3743.0, 476.0, 4087.0, 5373.0, 0.001, 0.01, 0.2
370.0, 9926.0, 3525.0, 2721.0, 3680.0, 496.0, 4073.0, 5357.0, 0.001, 0.01, 0.2
380.0, 9930.0, 3628.0, 2673.0, 3629.0, 504.0, 4064.0, 5362.0, 0.001, 0.01, 0.2
390.0, 9948.0, 3733.0, 2641.0, 3574.0, 535.0, 4061.0, 5352.0, 0.001, 0.01, 0.2
400.0, 9929.0, 3818.0, 2615.0, 3496.0, 548.0, 4051.0, 5330.0, 0.001, 0.01, 0.2
410.0, 9923.0, 3900.0, 2543.0, 3480.0, 564.0, 3995.0, 5364.0, 0.001, 0.01, 0.2
420.0, 9943.0, 3997.0, 2508.0, 3438.0, 585.0, 4013.0, 5345.0, 0.001, 0.01, 0.2
430.0, 9937.0, 4124.0, 2448.0, 3365.0, 621.0, 3986.0, 5330.0, 0.001, 0.01, 0.2
